# dx	dy
1.017296388745307922e-01 1.444834917783737183e-01
1.013273373246192932e-01 1.439585834741592407e-01
1.009256690740585327e-01 1.434343010187149048e-01
1.005246564745903015e-01 1.429106444120407104e-01
1.001242920756340027e-01 1.423876136541366577e-01
9.972456842660903931e-02 1.418652236461639404e-01
9.932548552751541138e-02 1.413434594869613647e-01
9.892705827951431274e-02 1.408223062753677368e-01
9.852926433086395264e-02 1.403017938137054443e-01
9.813211858272552490e-02 1.397819072008132935e-01
9.773562103509902954e-02 1.392626464366912842e-01
9.733976423740386963e-02 1.387439966201782227e-01
9.694454818964004517e-02 1.382259875535964966e-01
9.654997289180755615e-02 1.377085894346237183e-01
9.615604579448699951e-02 1.371918320655822754e-01
9.576275944709777832e-02 1.366756856441497803e-01
9.537010639905929565e-02 1.361601650714874268e-01
9.497810155153274536e-02 1.356452554464340210e-01
9.458673745393753052e-02 1.351309865713119507e-01
9.419601410627365112e-02 1.346173286437988281e-01
9.380592405796051025e-02 1.341042965650558472e-01
9.341648221015930176e-02 1.335918754339218140e-01
9.302767366170883179e-02 1.330800950527191162e-01
9.263950586318969727e-02 1.325689107179641724e-01
9.225197136402130127e-02 1.320583671331405640e-01
9.186507761478424072e-02 1.315484344959259033e-01
9.147882461547851562e-02 1.310391128063201904e-01
9.109320491552352905e-02 1.305304169654846191e-01
9.070822596549987793e-02 1.300223320722579956e-01
9.032388031482696533e-02 1.295148730278015137e-01
8.994016796350479126e-02 1.290080249309539795e-01
8.955709636211395264e-02 1.285018026828765869e-01
8.917465806007385254e-02 1.279961913824081421e-01
8.879285305738449097e-02 1.274911910295486450e-01
8.841168135404586792e-02 1.269868016242980957e-01
8.803114295005798340e-02 1.264830380678176880e-01
8.765124529600143433e-02 1.259798854589462280e-01
8.727197349071502686e-02 1.254773437976837158e-01
8.689333498477935791e-02 1.249754205346107483e-01
8.651532977819442749e-02 1.244741082191467285e-01
8.613795787096023560e-02 1.239734143018722534e-01
8.576121926307678223e-02 1.234733238816261292e-01
8.538510650396347046e-02 1.229738518595695496e-01
8.500962704420089722e-02 1.224749833345413208e-01
8.463478088378906250e-02 1.219767332077026367e-01
8.426056057214736938e-02 1.214790940284729004e-01
8.388697355985641479e-02 1.209820583462715149e-01
8.351401239633560181e-02 1.204856336116790771e-01
8.314168453216552734e-02 1.199898198246955872e-01
8.276998251676559448e-02 1.194946169853210449e-01
